ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,WARD PRECINCT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2464561-20170601,"2,464,561",406207,1,SANCERRE HOSPITALITY I  LLC,BLVD CHICAGO,817-819 W LAKE ST 1 & 2,CHICAGO,IL,60607,27,1,12,27-1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2464561,ISSUE,5/5/16,9/20/16,8/29/16,Y,6/1/17,6/15/19,6/1/17,6/1/17,AAI,,,41.88554185,-87.64822896,"(41.88554184944766, -87.6482289578284)"
20227-20170516,"2,518,942",63298,1,GA & 7M CORPORATION,LARAMIE FOOD & LIQUOR,200 S LARAMIE AVE  1,CHICAGO,IL,60644,29,14,15,29-14,1474,Package Goods,774,Retail Sales of Packaged Liquor,20227,RENEW,,3/15/17,5/15/17,N,5/16/17,5/15/19,5/15/17,6/1/17,AAI,,,41.87842317,-87.75514145,"(41.87842317327235, -87.7551414485292)"
2308792-20170716,"2,534,184",388050,1,"BAR SIENA, LLC",BAR SIENA,832 W RANDOLPH ST 1 & 2,CHICAGO,IL,60607,27,1,12,27-1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2308792,RENEW,,5/15/17,5/31/17,N,7/16/17,7/15/19,5/31/17,6/1/17,AAI,,,41.88449669,-87.64866551,"(41.884496686293886, -87.64866550824529)"
2262291-20170716,"2,531,837",278216,3,"ANNOYANCE PRODUCTIONS, INC.",ANNOYANCE PRODUCTIONS,851-853 W BELMONT AVE 2ND,CHICAGO,IL,60657,44,20,19,44-20,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2262291,RENEW,,5/15/17,6/1/17,N,7/16/17,7/15/19,6/1/17,6/1/17,AAI,,17,41.93984335,-87.65125514,"(41.939843345836316, -87.65125514003165)"
1891735-20170616,"2,526,088",327743,1,"RAINBOW X O, INC.",RAINBOW X O,7100 S ASHLAND AVE 1,CHICAGO,IL,60636,17,11,7,17-11,1474,Package Goods,774,Retail Sales of Packaged Liquor,1891735,RENEW,,4/15/17,5/31/17,N,6/16/17,6/15/19,5/31/17,6/1/17,AAI,,,41.76485938,-87.66394018,"(41.764859382425385, -87.66394017630476)"
2368755-20170716,"2,534,277",395067,1,"KP GROUP, INC",7-ELEVEN #37152 A,30 E JACKSON BLVD,CHICAGO,IL,60604,42,9,1,42-9,1474,Package Goods,774,Retail Sales of Packaged Liquor,2368755,RENEW,,5/15/17,5/31/17,N,7/16/17,7/15/19,5/31/17,6/1/17,AAI,,1,41.87834346,-87.62660256,"(41.8783434588105, -87.62660256371231)"
17366-20170616,"2,524,954",63209,1,"CHIP'S LIQUOR, INC.",CHIPS FOOD & LIQUOR MART,3700  -3704 W 55TH ST 1ST,CHICAGO,IL,60632,23,9,8,23-9,1474,Package Goods,774,Retail Sales of Packaged Liquor,17366,RENEW,,4/15/17,5/31/17,N,6/16/17,6/15/19,5/31/17,6/1/17,AAI,,,41.79342196,-87.71587465,"(41.79342195832449, -87.71587465174734)"
22393-20170616,"2,524,593",29508,1,DONNA NICHOLAS,MICHAEL'S SPORTS LOUNGE,4501 S ARCHER AVE  LIQUO,CHICAGO,IL,60632,14,10,8,14-10,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,22393,RENEW,,4/15/17,6/1/17,N,6/16/17,6/15/19,6/1/17,6/1/17,AAI,,39,41.81159873,-87.70806972,"(41.81159873397149, -87.708069721576)"
2229407-20170616,"2,526,922",378316,1,"AVVA INC.,",MIDTOWN MARKET,3855 W DIVISION ST 1,CHICAGO,IL,60651,37,24,11,37-24,1474,Package Goods,774,Retail Sales of Packaged Liquor,2229407,RENEW,,4/15/17,5/31/17,N,6/16/17,6/15/19,5/31/17,6/1/17,AAI,,,41.90258387,-87.72361925,"(41.902583873870306, -87.72361924848285)"
1145392-20170516,"2,519,362",215498,1,"CARRIBANA BAR AND GRILL, INC.",THE DARK HORSE TAP AND GRILL,3443 N SHEFFIELD AVE 1ST,CHICAGO,IL,60657,44,36,19,44-36,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1145392,RENEW,,3/15/17,6/1/17,N,5/16/17,5/15/19,6/1/17,6/2/17,AAI,,17,41.94483709,-87.65410975,"(41.94483708470645, -87.65410974708492)"
1354484-20170516,"2,519,364",215498,1,"CARRIBANA BAR AND GRILL, INC.",THE DARK HORSE TAP AND GRILL,3443 N SHEFFIELD AVE 1ST,CHICAGO,IL,60657,44,36,19,44-36,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1354484,RENEW,,3/15/17,6/1/17,N,5/16/17,5/15/19,6/1/17,6/2/17,AAI,,17,41.94483709,-87.65410975,"(41.94483708470645, -87.65410974708492)"
18063-20170616,"2,523,835",98,1,"SUNSET INN,INC","SUNSET INN,INC",5221 S CICERO AVE,CHICAGO,IL,60632,14,41,8,14-41,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,18063,RENEW,,4/15/17,6/1/17,N,6/16/17,6/15/19,6/1/17,6/2/17,AAI,,,41.79800597,-87.74275693,"(41.79800597428108, -87.7427569288057)"
2240732-20170716,"2,533,354",379375,1,354 W HUBBARD RESTAURANT LLC,3 GREENS MARKET,354 W HUBBARD ST,CHICAGO,IL,60654,42,67,18,42-67,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2240732,RENEW,,5/15/17,6/1/17,N,7/16/17,7/15/19,6/1/17,6/2/17,AAI,,,41.89004496,-87.63762806,"(41.890044957539516, -87.6376280637658)"
2320735-20170416,"2,512,640",21550,4,"PANE E' POMODORO, LTD.",SAPORI,2701 N HALSTED ST 1 & 2,CHICAGO,IL,60614,43,6,19,43-6,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2320735,RENEW,,2/15/17,6/1/17,N,4/16/17,4/15/19,6/1/17,6/2/17,AAI,,,41.9315785,-87.64882494,"(41.93157849671675, -87.64882493936558)"
2496525-20170602,"2,496,525",409750,1,"SMASHOTELS CHICAGO, LLC",HOTEL EMC2,228 E ONTARIO ST LL-21,CHICAGO,IL,60611,42,41,18,42-41,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2496525,ISSUE,11/4/16,11/4/16,11/4/16,Y,6/2/17,6/15/19,6/2/17,6/2/17,AAI,,,41.89348297,-87.62193059,"(41.89348296915108, -87.62193059128795)"
1823322-20170616,"2,526,036",319024,1,63RD & ASHLAND LLC,EXTRA VALUE FOOD & LIQUOR,6257 S ASHLAND AVE 1,CHICAGO,IL,60636,16,45,7,16-45,1474,Package Goods,774,Retail Sales of Packaged Liquor,1823322,RENEW,,4/15/17,6/2/17,N,6/16/17,6/15/19,6/2/17,6/2/17,AAI,,,41.77961467,-87.66407749,"(41.7796146657817, -87.66407748925904)"
13506-20170616,"2,523,973",6281,2,SHARIF'S FOOD & LIQUORS INC.,SHARIF'S FOOD & LIQUORS INC.,5659 S RACINE AVE 1,CHICAGO,IL,60636,16,15,7,16-15,1474,Package Goods,774,Retail Sales of Packaged Liquor,13506,RENEW,,4/15/17,6/2/17,N,6/16/17,6/15/19,6/2/17,6/5/17,AAI,,,41.79061638,-87.65463582,"(41.79061638096181, -87.65463582120134)"
44730-20170616,"2,524,893",55752,1,"JOHN & ZOFIA'S LIQ & DELI, INC",JOHN & ZOFIA'S LIQUOR DELI,5076 S ARCHER AVE 1ST,CHICAGO,IL,60632,14,25,8,14-25,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,44730,RENEW,,4/15/17,6/2/17,N,6/16/17,6/15/19,6/2/17,6/5/17,AAI,,,41.80113056,-87.7278102,"(41.80113056261581, -87.7278102041302)"
2391057-20170716,"2,531,907",279209,1,"RUSH ONTARIO, LLC",AC MARRIOTT CHICAGO DOWNTOWN,630 N RUSH ST,CHICAGO,IL,60611,42,22,18,42-22,1474,Package Goods,774,Retail Sales of Packaged Liquor,2391057,RENEW,,5/15/17,6/2/17,N,7/16/17,3/15/19,6/2/17,6/5/17,AAI,,,41.89335244,-87.62556699,"(41.89335243769719, -87.62556698832533)"
30646-20170716,"2,530,550",31641,1,"CAREY WEST, INC.",KELLY'S TAP ON WESTERN,10910 S WESTERN AVE 1ST,CHICAGO,IL,60643,19,62,22,19-62,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,30646,RENEW,,5/15/17,6/5/17,N,7/16/17,7/15/19,6/5/17,6/5/17,AAI,,20,41.69512056,-87.68140865,"(41.69512055575073, -87.6814086503988)"
2069787-20170516,"2,520,610",358520,1,PATIO THEATRE LLC,PATIO THEATRE,6008 W IRVING PARK RD 1,CHICAGO,IL,60634,38,21,16,38-21,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,2069787,RENEW,,3/15/17,6/1/17,N,5/16/17,5/15/19,6/1/17,6/5/17,AAI,,,41.95315398,-87.77717789,"(41.95315397886522, -87.77717789155297)"
68172-20170616,"2,524,455",20937,1,"KAZIMIERZANKA, INC.",KAZIMIERZANKA,4785 S ARCHER AVE,CHICAGO,IL,60632,14,13,8,14-13,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,68172,RENEW,,4/15/17,6/2/17,N,6/16/17,6/15/19,6/2/17,6/5/17,AAI,,39,41.8065474,-87.71630467,"(41.80654740106753, -87.71630466982813)"
11584-20170416,"2,512,267",5452,1,"RIVER-LITES,LTD.",CRIO RESTAURANT,2506-2508 N CLYBOURN AVE 1,CHICAGO,IL,60614,32,20,19,32-20,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,11584,RENEW,,2/15/17,4/15/17,N,4/16/17,4/15/19,4/15/17,6/6/17,AAI,,,41.92698538,-87.67210268,"(41.92698538037725, -87.67210268081504)"
2380076-20170606,"2,380,076",358520,1,PATIO THEATRE LLC,PATIO THEATRE,6008 W IRVING PARK RD 1,CHICAGO,IL,60634,38,21,16,38-21,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2380076,ISSUE,2/10/15,3/31/16,3/1/16,N,6/6/17,6/15/19,6/6/17,6/6/17,AAI,,,41.95315398,-87.77717789,"(41.95315397886522, -87.77717789155297)"
2469896-20170606,"2,469,896",274921,1,FULTON CATERING CORP.,Carnivale Restaurant,702 W FULTON MARKET  1ST & 2ND FLR,CHICAGO,IL,60661,42,1,12,42-1,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2469896,ISSUE,6/2/16,10/6/16,10/6/16,N,6/6/17,6/15/19,6/5/17,6/6/17,AAI,,,,,
2506791-20170531,"2,506,791",412695,1,"III FORKS CHICAGO, LP",III FORKS,180 N FIELD BLVD 2ND FLR & ROOFTOP 208,CHICAGO,IL,60601,42,6,1,42-6,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2506791,ISSUE,1/10/17,3/23/17,3/3/17,N,5/31/17,6/15/19,5/31/17,5/31/17,AAI,,,41.88550434,-87.61755078,"(41.885504343975974, -87.6175507807259)"
1816938-20170716,"2,532,278",315884,1,4555 N RAVENSWOOD INC.,O'SHAUGHNESSY'S PUBLIC HOUSE,4557 N RAVENSWOOD AVE 1,CHICAGO,IL,60640,47,5,19,47-5,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1816938,RENEW,,5/15/17,6/5/17,N,7/16/17,7/15/19,6/5/17,6/6/17,AAI,,31,41.96502422,-87.67393001,"(41.96502422260248, -87.67393001432491)"
2284685-20170616,"2,527,116",381288,1,"SHIV SHAKTI INVESTMENT, INC.",COMMUNITY FOOD & LIQUOR 1,5530 N MILWAUKEE AVE 1ST,CHICAGO,IL,60630,45,11,16,45-11,1474,Package Goods,774,Retail Sales of Packaged Liquor,2284685,RENEW,,4/15/17,6/6/17,N,6/16/17,6/15/19,6/6/17,6/6/17,AAI,,,41.98228978,-87.77396049,"(41.982289775765665, -87.77396048836235)"
2198203-20170616,"2,526,883",377021,1,OHIO ACQUISITION LLC,COCO PAZZO CAFE,212 E OHIO ST,CHICAGO,IL,60611,42,41,18,42-41,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2198203,RENEW,,4/15/17,6/5/17,N,6/16/17,6/15/19,6/5/17,6/6/17,AAI,,,41.89267842,-87.62211888,"(41.892678418310624, -87.62211888192721)"
2506790-20170531,"2,506,790",412695,1,"III FORKS CHICAGO, LP",III FORKS,180 N FIELD BLVD 2ND FLR & ROOFTOP 208,CHICAGO,IL,60601,42,6,1,42-6,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2506790,ISSUE,1/10/17,3/23/17,3/3/17,N,5/31/17,6/15/19,5/31/17,5/31/17,AAI,,,41.88550434,-87.61755078,"(41.885504343975974, -87.6175507807259)"
37816-20170616,"2,524,200",15489,1,"EL PLAN, INC.","EL PLAN, INC.",2532 W 51ST ST 1,CHICAGO,IL,60632,14,17,9,14-17,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,37816,RENEW,,4/15/17,6/5/17,N,6/16/17,6/15/19,6/5/17,6/6/17,AAI,,,41.80120185,-87.68796644,"(41.80120185097902, -87.68796644449378)"
2386060-20170516,"2,521,470",394235,1,"HQ ENTERPRISES, LLC",HQ HOWARD  QUINTERO,4114 N KEDZIE AVE,CHICAGO,IL,60618,33,15,17,33-15,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2386060,RENEW,,3/15/17,4/26/17,N,5/16/17,3/15/19,4/26/17,6/6/17,AAI,,60,41.9561934,-87.70823033,"(41.956193396983295, -87.70823032541526)"
18385-20170616,"2,524,579",28568,1,MARZEPOL INC,MARIO & SANDRA'S BAR & GRILL,3620 S CALIFORNIA AVE 1ST,CHICAGO,IL,60632,12,2,9,2-Dec,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,18385,RENEW,,4/15/17,6/6/17,N,6/16/17,6/15/19,6/6/17,6/7/17,AAI,,,41.827523,-87.69489075,"(41.827523001547085, -87.69489075377746)"
2511374-20170607,"2,511,374",413503,1,2834 SOUTHPORT LLC,SAL'S TRATTORIA,2834 N SOUTHPORT AVE,CHICAGO,IL,60657,32,18,19,32-18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2511374,ISSUE,2/1/17,5/18/17,4/21/17,N,6/7/17,6/15/19,6/7/17,6/7/17,AAI,,,41.93349135,-87.66374359,"(41.933491344933415, -87.66374359346061)"
2278728-20170616,"2,527,062",381122,1,BENARA CORPORATION,LA FUENTE RESTAURANTE # 2,2948 - 2950 W 59TH ST 1ST,CHICAGO,IL,60629,16,32,8,16-32,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2278728,RENEW,,4/15/17,6/7/17,N,6/16/17,6/15/19,6/7/17,6/7/17,AAI,,59,41.78644599,-87.69799211,"(41.786445985597574, -87.69799211227327)"
22972-20170616,"2,524,070",9397,1,LUDWIK ENTERPRISES INC,THE MANOR,4152-4158 W 47TH ST,CHICAGO,IL,60632,14,2,8,14-2,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,22972,RENEW,,4/15/17,6/6/17,N,6/16/17,6/15/19,6/6/17,6/7/17,AAI,,,41.8079245,-87.72816395,"(41.80792449729992, -87.72816394877388)"
2079327-20170616,"2,526,517",359529,1,ADAM'S FOOD / LIQUOR INC.,ADAM'S FOOD & LIQUOR,215-219 S WESTERN AVE 1,CHICAGO,IL,60612,27,17,12,27-17,1474,Package Goods,774,Retail Sales of Packaged Liquor,2079327,RENEW,,4/15/17,6/7/17,N,6/16/17,6/15/19,6/7/17,6/7/17,AAI,,,41.87810281,-87.68620577,"(41.878102805968325, -87.686205767174)"
2137338-20170616,"2,524,606",30403,1,"GORALKA,INC.",STUDIO 51,2522-2524 W 51ST ST  1,CHICAGO,IL,60632,14,17,9,14-17,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,2137338,RENEW,,4/15/17,5/9/17,N,6/16/17,6/15/19,6/7/17,6/7/17,AAI,,,41.80120545,-87.68775219,"(41.80120544865184, -87.68775219068961)"
2021288-20170716,"2,532,814",351029,1,1344 EAST 67TH STREET CORP.,MIDWAY FOOD & LIQUORS NO. 2,1344 E 67TH ST 1,CHICAGO,IL,60637,5,5,3,5-May,1474,Package Goods,774,Retail Sales of Packaged Liquor,2021288,RENEW,,5/15/17,6/6/17,N,7/16/17,7/15/19,6/6/17,6/7/17,AAI,,,41.77338069,-87.59256121,"(41.7733806908747, -87.59256120697202)"
1475903-20170716,"2,531,275",204707,3,"SERUMIDO, LTD.",SPACCANAPOLI,1769 W SUNNYSIDE AVE,CHICAGO,IL,60640,47,5,19,47-5,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1475903,RENEW,,5/15/17,6/6/17,N,7/16/17,7/15/19,6/6/17,6/7/17,AAI,,31,41.96324527,-87.67361419,"(41.963245266688084, -87.67361418778216)"
639-20170616,"2,523,837",117,1,ALIVE & KICKING INC,THE APARTMENT LOUNGE,3806 W 47TH ST 1ST,CHICAGO,IL,60632,14,35,8,14-35,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,639,RENEW,,4/15/17,6/7/17,N,6/16/17,6/15/19,6/7/17,6/8/17,AAI,,,41.80803944,-87.71901383,"(41.80803943784461, -87.7190138246269)"
2398384-20170716,"2,531,985",285789,1,"TALBOTT ASSOCIATES, LP",20 EAST,10-20 E DELAWARE PL,CHICAGO,IL,60611,42,61,18,42-61,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2398384,RENEW,,5/15/17,6/7/17,N,7/16/17,3/15/19,6/7/17,6/8/17,AAI,,,41.89925506,-87.62783464,"(41.89925505559848, -87.62783463799146)"
2354679-20170716,"2,533,782",382695,2,"MAISON CUISINE, INC.",MAISON CUISINE,324 N LEAVITT ST,CHICAGO,IL,60612,27,27,12,27-27,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2354679,RENEW,,5/15/17,6/7/17,N,7/16/17,7/15/19,6/7/17,6/8/17,AAI,,,41.88743405,-87.68184949,"(41.88743405025222, -87.68184949426895)"
2379510-20170716,"2,531,984",285789,1,"TALBOTT ASSOCIATES, LP",20 EAST,10-20 E DELAWARE PL,CHICAGO,IL,60611,42,61,18,42-61,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2379510,RENEW,,5/15/17,6/7/17,N,7/16/17,3/15/19,6/7/17,6/8/17,AAI,,,41.89925506,-87.62783464,"(41.89925505559848, -87.62783463799146)"
14991-20170716,"2,530,039",6597,1,"FARIS, INC.",GEORGE'S LIQUOR & FOOD,1438 W 95TH ST,CHICAGO,IL,60643,21,18,22,21-18,1474,Package Goods,774,Retail Sales of Packaged Liquor,14991,RENEW,,5/15/17,6/8/17,N,7/16/17,7/15/19,6/8/17,6/9/17,AAI,,,41.72136414,-87.65941509,"(41.721364144260306, -87.6594150859948)"
2293743-20170716,"2,534,162",386076,1,"AURELIO'S PIZZA SOUTH LOOP, LLC",AURELIO'S PIZZA,1212 S MICHIGAN AVE 1ST,CHICAGO,IL,60605,3,40,1,Mar-40,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2293743,RENEW,,5/15/17,6/8/17,N,7/16/17,7/15/19,6/8/17,6/9/17,AAI,,,41.86706145,-87.62429156,"(41.86706145293373, -87.62429155657351)"
31931-20170516,"2,518,337",14439,1,"306 N. HALSTED, INC.",THE MID,306 N HALSTED ST 1ST,CHICAGO,IL,60661,27,1,12,27-1,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",31931,RENEW,,3/15/17,6/9/17,N,5/16/17,5/15/19,6/9/17,6/9/17,AAI,,,41.88702465,-87.64765954,"(41.887024646067374, -87.64765954319624)"
2293747-20170716,"2,534,161",386076,1,"AURELIO'S PIZZA SOUTH LOOP, LLC",AURELIO'S PIZZA,1212 S MICHIGAN AVE 1ST,CHICAGO,IL,60605,3,40,1,Mar-40,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2293747,RENEW,,5/15/17,6/8/17,N,7/16/17,7/15/19,6/8/17,6/9/17,AAI,,,41.86706145,-87.62429156,"(41.86706145293373, -87.62429155657351)"
2507013-20170609,"2,507,013",36471,1,"ALLEN GRAHAM VAN HULLE ENTERPRISES, INC.",THE LUCKY HORSESHOE LOUNGE,3169 N HALSTED ST 1ST,CHICAGO,IL,60657,44,21,19,44-21,1050,Public Place of Amusement,744,Provides Onsite Entertainment or Rentals,2507013,ISSUE,1/13/17,1/27/17,1/27/17,N,6/9/17,6/15/19,6/9/17,6/9/17,AAI,,8,41.93987622,-87.64911644,"(41.9398762229962, -87.64911644222865)"
31930-20170516,"2,518,338",14439,1,"306 N. HALSTED, INC.",THE MID,306 N HALSTED ST 1ST,CHICAGO,IL,60661,27,1,12,27-1,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,31930,RENEW,,3/15/17,6/9/17,N,5/16/17,5/15/19,6/9/17,6/9/17,AAI,,,41.88702465,-87.64765954,"(41.887024646067374, -87.64765954319624)"
2013411-20170616,"2,526,121",328782,2,"ENGLEWOOD MARKET, INC.",ENGLEWOOD MARKET,6055-6057 S RACINE AVE 1ST,CHICAGO,IL,60636,16,3,7,16-3,1474,Package Goods,774,Retail Sales of Packaged Liquor,2013411,RENEW,,4/15/17,6/8/17,N,6/16/17,6/15/19,6/8/17,6/9/17,AAI,,,41.78345131,-87.65445295,"(41.78345130683472, -87.65445294657616)"
2269739-20170616,"2,525,777",286725,1,"MARISCOS EL ABUELO Y YO, INC.",MARISCOS EL ABUELO Y YO SEAFOOD,3752 S KEDZIE AVE,CHICAGO,IL,60632,12,11,9,11-Dec,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2269739,RENEW,,4/15/17,6/9/17,N,6/16/17,6/15/19,6/9/17,6/12/17,AAI,,,41.82444711,-87.70459624,"(41.8244471105655, -87.704596235788)"
2476031-20170612,"2,476,031",26483,2,"FRANKIE'S PLACE, INC.",FRANKIE'S PLACE,2607 W 47TH ST,CHICAGO,IL,60632,15,17,9,15-17,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2476031,ISSUE,6/20/16,6/28/16,6/20/16,N,6/12/17,6/15/19,6/12/17,6/12/17,AAI,,,41.80824456,-87.68963553,"(41.808244561336195, -87.68963553388181)"
2405716-20170616,"2,536,623",26483,2,"FRANKIE'S PLACE, INC.",FRANKIE'S PLACE,2607 W 47TH ST,CHICAGO,IL,60632,15,17,9,15-17,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,2405716,RENEW,,6/12/17,6/12/17,N,6/16/17,6/15/19,6/12/17,6/12/17,AAI,,,41.80824456,-87.68963553,"(41.808244561336195, -87.68963553388181)"
23528-20170716,"2,530,891",63441,1,DK'S CORPORATION,K'S DUGOUT,1930 W FOSTER AVE 1ST,CHICAGO,IL,60640,40,23,20,40-23,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,23528,RENEW,,5/15/17,6/11/17,N,7/16/17,7/15/19,6/11/17,6/12/17,AAI,,,41.97616563,-87.67772952,"(41.97616562906733, -87.67772952184824)"
2008548-20170716,"2,532,559",338442,2,SOO CORP.,TOZI RESTAURANT,1265 N MILWAUKEE AVE 1ST,CHICAGO,IL,60642,1,49,14,Jan-49,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2008548,RENEW,,5/15/17,6/10/17,N,7/16/17,7/15/19,6/10/17,6/12/17,AAI,,33,41.90485662,-87.6685902,"(41.90485662426528, -87.66859020422658)"
2269770-20170716,"2,533,308",377276,1,1119 W WEBSTER RESTAURANT LLC,RANGE,1119 - 1121 W WEBSTER AVE 1ST,CHICAGO,IL,60614,43,50,18,43-50,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2269770,RENEW,,5/15/17,6/9/17,N,7/16/17,7/15/19,6/9/17,6/12/17,AAI,,,41.92157698,-87.65672652,"(41.92157698377766, -87.65672651542604)"
2493093-20170612,"2,493,093",401060,1,MAGIC JUG LLC,MJ RESTAURANT,912 N WESTERN AVE 1ST,CHICAGO,IL,60622,26,1,12,26-1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2493093,ISSUE,10/11/16,4/25/17,4/13/17,N,6/12/17,6/15/19,6/12/17,6/12/17,AAI,,,41.89801416,-87.68704727,"(41.89801416381991, -87.6870472678726)"
2464559-20170612,"2,464,559",349237,6,"JAMAICA JERK VILLA, INC.",JERK VILLA BAR & GRILL,2216 S MICHIGAN AVE 1,CHICAGO,IL,60616,3,3,1,3-Mar,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2464559,ISSUE,5/5/16,1/9/17,11/23/16,Y,6/12/17,6/15/19,6/12/17,6/12/17,AAI,,,41.85234085,-87.62393737,"(41.852340852950555, -87.62393736487337)"
1301-20170616,"2,524,505",24185,1,HENRY L HOSKIN,HOT CITY LOUNGE,7432 S RACINE AVE 1ST,CHICAGO,IL,60636,17,5,7,17-5,1472,Music and Dance,916,Music and Dance,1301,RENEW,,4/15/17,6/9/17,N,6/16/17,6/15/19,6/9/17,6/12/17,AAI,,,41.75864353,-87.65409389,"(41.75864352890194, -87.65409388721017)"
1300-20170616,"2,524,504",24185,1,HENRY L HOSKIN,HOT CITY LOUNGE,7432 S RACINE AVE 1ST,CHICAGO,IL,60636,17,5,7,17-5,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,1300,RENEW,,4/15/17,6/9/17,N,6/16/17,6/15/19,6/9/17,6/12/17,AAI,,,41.75864353,-87.65409389,"(41.75864352890194, -87.65409388721017)"
31929-20170516,"2,518,339",14439,1,"306 N. HALSTED, INC.",THE MID,306 N HALSTED ST 1ST,CHICAGO,IL,60661,27,1,12,27-1,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,31929,RENEW,,3/15/17,6/9/17,N,5/16/17,5/15/19,6/13/17,6/13/17,AAI,,,41.88702465,-87.64765954,"(41.887024646067374, -87.64765954319624)"
1247082-20170616,"2,525,306",213474,2,"J.M.L. FIRST VENTURE, INC.",CLUB KARLOV,4058 W 47TH ST 1ST FRONT,CHICAGO,IL,60632,14,2,8,14-2,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,1247082,RENEW,,4/15/17,6/12/17,N,6/16/17,6/15/19,6/12/17,6/13/17,AAI,,,41.80795154,-87.72597326,"(41.80795154367531, -87.72597325588606)"
2358743-20170616,"2,527,463",393565,1,"WICKER PARK WINE & SPIRITS, INC.","D & D FOOD, WINE & LIQUOR",2006 W DIVISION ST,CHICAGO,IL,60622,1,17,14,17-Jan,1474,Package Goods,774,Retail Sales of Packaged Liquor,2358743,RENEW,,4/15/17,6/12/17,N,6/16/17,6/15/19,6/12/17,6/13/17,AAI,,33,41.9032948,-87.67761095,"(41.90329479841468, -87.67761094821579)"
